country,date,GDP_cnstn,GDP_growth,GDP_cnstn_usd,GDP_pp_usd,GDP_pp_LCU,Inflatn,forgn_invst,forgn_invst_gdp,Fin_consum,Fin_consum_govern,Ext_balnce_g_s,Fin_consum_hous,Unmploy,Labor_part,GDP_usd
Australia,2022,2552248000000.0,4.25304559238732,1592357665099.43,61200.4588964781,98092.7540596634,7.1995443407201,68709419796.6457,4.05215286724897,71.0717009100082,22.0179536839799,5.22841779415654,49.0537472260283,3.728,66.846,1695627535475.8
Australia,2021,2448128000000.0,2.00694844335034,1527396783519.68,59465.535671364,95312.0004460119,3.06066984761631,31453060427.4531,2.01542405903097,73.3183709600516,22.3669467050339,3.80139290672556,50.9514242550178,5.022,66.056,1560617493202.69
Australia,2020,2399962000000.0,-0.133531904304775,1497345824797.34,58377.7670517802,93568.5131977359,1.86583412216189,17976843681.3118,1.34826011276188,74.2786095165123,21.8138607927779,3.37651067920358,52.4647487237344,6.394,64.98,1333336461648.09
Australia,2019,2403171000000.0,2.19401703622717,1499347932643.95,59181.2997904131,94856.4241175369,3.47660031414854,38745129661.1196,2.7707756042699,74.5795922125016,20.2893843805062,2.1232773369272,54.2902078319954,5.143,66.052,1398349602956.35
Australia,2018,2351577000000.0,2.87417039499501,1467158231105.1,58772.7063152213,94201.526098877,1.84617555303311,60686639529.9229,4.23450805251819,75.3935927231386,19.9423017325165,0.0519219504913385,55.4512909906221,5.345,65.746,1433144978761.67
Australia,2017,2285877000000.0,2.29331030192918,1426167740135.16,57991.771347333,92949.8351291861,3.64623358006087,48199372039.9014,3.62158795648508,75.611735299001,19.8687250416928,0.308268917029761,55.7430102573082,5.604,65.025,1330890554614.09
Australia,2016,2234630000000.0,2.75564065529868,1394194533274.64,57632.9995925594,92374.7919001135,-0.673417495929741,42970225977.7088,3.54660341826145,77.0587242203238,19.8952681410756,-2.40711446065075,57.1634560792482,5.714,64.834,1211588128417.61
Australia,2015,2174703000000.0,2.16434780647852,1356805839935.9,56970.3613028094,91312.7081190603,-0.627407934606055,46892808567.8515,3.456117831131,75.3585232160914,19.1109568570267,-1.52545979333904,56.2475663590647,6.054,64.996,1356805839935.9
Australia,2014,2128632000000.0,2.60118978187332,1328061960035.21,56571.8062524437,90673.8997957291,1.41703057182264,63204516347.8725,4.28599049307814,73.6964746061954,18.6961228698943,-0.307473555966848,55.0003517363011,6.077,64.704,1474677007565.64
Australia,2013,2074666000000.0,2.65445302592404,1294392358274.42,55966.1509270561,89703.1489231144,-0.13127264372919,54472699003.5959,3.43950309398958,73.5568931631295,18.7749964695624,-1.31422967148145,54.7818966935671,5.662,64.939,1583737461925.39
Australia,2012,2021019000000.0,3.95247138119184,1260921781880.75,55465.4462872577,88900.6141386718,1.79728622285839,57571285654.7447,3.70774989384992,72.5539040641476,18.8350599059489,-0.177383503666214,53.7188441581987,5.224,65.152,1552728401401.58
Australia,2011,1944176000000.0,2.39473494330615,1212979128949.21,54296.2321324814,87026.585110204,6.19890348463792,65578266555.523,4.67434620832808,72.5971397448962,18.6079623317755,1.0202045047261,53.9891774131206,5.081,65.42,1402939868653.4
Australia,2010,1898707000000.0,2.21004795300735,1184610839239.74,53768.349733441,86180.4895208052,1.16518778810975,35554698682.4247,3.08482804330762,74.2280607234698,18.7746025195731,-0.926059661229371,55.4534582038967,5.211,65.391,1152566632022.13
Australia,2009,1857652000000.0,1.95484826298522,1158996461663.32,53430.5274781651,85639.024374952,4.99158692120147,28932973452.6035,3.10519028312049,72.4435506493404,18.3714140093164,0.280202131148189,54.072136640024,5.561,65.431,931761689770.843
Australia,2008,1822034000000.0,3.62398503565633,1136774249983.46,53497.275355342,85746.0085907238,4.56770652387168,45170097261.1184,4.26757732505597,74.0033732632516,18.053978978852,-2.54339650730225,55.9493942843996,4.234,65.481,1058448244063.77
Australia,2007,1758313000000.0,3.78947119882653,1097018464974.4,52671.325846724,84422.1678307778,4.98460606552011,44440876036.5147,5.18803286061474,74.1872094557933,18.1383906967195,-1.63795442213782,56.0488187590738,4.377,65.176,856603595823.192
Australia,2006,1694115000000.0,2.7709261737475,1056965077770.63,51682.8925230537,82837.8962636777,5.11166391727404,30551100656.5982,4.07506463386939,74.3916213676298,18.2757770078967,-1.84917942413381,56.1158443597331,4.782,64.756,749708370332.989
